"","Crime Code","Crime Code Description"
"1",626,"INTIMATE PARTNER - SIMPLE ASSAULT"
"2",510,"VEHICLE - STOLEN"
"5",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"6",110,"CRIMINAL HOMICIDE"
"10",668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
"13",440,"THEFT PLAIN - PETTY ($950 & UNDER)"
"14",763,"STALKING"
"15",442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"17",624,"BATTERY - SIMPLE ASSAULT"
"20",670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
"22",649,"DOCUMENT FORGERY / STOLEN FELONY"
"28",480,"BIKE - STOLEN"
"29",210,"ROBBERY"
"31",821,"SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02"
"34",220,"ATTEMPTED ROBBERY"
"37",437,"RESISTING ARREST"
"38",888,"TRESPASSING"
"39",341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
"42",660,"COUNTERFEIT"
"45",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"46",647,"THROWING OBJECT AT MOVING VEHICLE"
"48",951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER"
"49",930,"CRIMINAL THREATS - NO WEAPON DISPLAYED"
"53",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
"54",330,"BURGLARY FROM VEHICLE"
"65",860,"BATTERY WITH SEXUAL CONTACT"
"77",946,"OTHER MISCELLANEOUS CRIME"
"91",310,"BURGLARY"
"95",343,"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)"
"107",627,"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT"
"110",850,"INDECENT EXPOSURE"
"114",237,"CHILD NEGLECT (SEE 300 W.I.C.)"
"123",625,"OTHER ASSAULT"
"178",350,"THEFT, PERSON"
"189",755,"BOMB SCARE"
"193",940,"EXTORTION"
"216",121,"RAPE, FORCIBLE"
"232",441,"THEFT PLAIN - ATTEMPT"
"241",331,"THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)"
"259",236,"INTIMATE PARTNER - AGGRAVATED ASSAULT"
"264",886,"DISTURBING THE PEACE"
"306",813,"CHILD ANNOYING (17YRS & UNDER)"
"341",251,"SHOTS FIRED AT INHABITED DWELLING"
"365",623,"BATTERY POLICE (SIMPLE)"
"375",761,"BRANDISH WEAPON"
"395",943,"CRUELTY TO ANIMALS"
"411",815,"SEXUAL PENTRATION WITH A FOREIGN OBJECT"
"452",354,"THEFT OF IDENTITY"
"453",648,"ARSON"
"459",320,"BURGLARY, ATTEMPTED"
"490",420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)"
"508",900,"VIOLATION OF COURT ORDER"
"564",956,"LETTERS, LEWD"
"578",812,"CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060"
"588",410,"BURGLARY FROM VEHICLE, ATTEMPTED"
"592",434,"FALSE IMPRISONMENT"
"603",662,"BUNCO, GRAND THEFT"
"631",351,"PURSE SNATCHING"
"753",901,"VIOLATION OF RESTRAINING ORDER"
"861",122,"RAPE, ATTEMPTED"
"975",664,"BUNCO, PETTY THEFT"
"1251",910,"KIDNAPPING"
"1299",762,"LEWD CONDUCT"
"1492",933,"PROWLER"
"1663",520,"VEHICLE - ATTEMPT STOLEN"
"1809",805,"PIMPING"
"1884",840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065"
"1887",932,"PEEPING TOM"
"1894",810,"SEX, UNLAWFUL"
"1970",485,"BIKE - ATTEMPTED STOLEN"
"2003",450,"THEFT FROM PERSON - ATTEMPT"
"2046",352,"PICKPOCKET"
"2077",438,"RECKLESS DRIVING"
"2259",820,"ORAL COPULATION"
"2269",928,"THREATENING PHONE CALLS/LETTERS"
"2323",444,"DISHONEST EMPLOYEE - PETTY THEFT"
"2325",661,"UNAUTHORIZED COMPUTER ACCESS"
"2337",753,"DISCHARGE FIREARMS/SHOTS FIRED"
"2776",922,"CHILD STEALING"
"2929",653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
"3124",433,"DRIVING WITHOUT OWNER CONSENT (DWOC)"
"3207",666,"BUNCO, ATTEMPT"
"3223",942,"BRIBERY"
"3290",654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
"3485",756,"WEAPONS POSSESSION/BOMBING"
"3487",235,"CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT"
"3499",231,"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER"
"4242",443,"SHOPLIFTING - ATTEMPT"
