AREA 5_2016,Crime Code,Frequency,Description
AREA 5,510,1026,VEHICLE - STOLEN
AREA 5,624,714,BATTERY - SIMPLE ASSAULT
AREA 5,310,700,BURGLARY
AREA 5,626,620,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 5,330,604,BURGLARY FROM VEHICLE
AREA 5,740,581,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 5,420,480,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
AREA 5,230,468,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 5,440,463,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 5,745,451,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
